"Adliswil, Landolt-Junker-Str.",681.958,239.741,487
"Adliswil, Moos",682.579,242.195,471
"Adliswil, Poststrasse",682.147,240.829,448
"Adliswil, Rifertstrasse",682.640,240.491,480
"Adliswil, Rütistrasse/Wacht",682.695,240.147,509
"Adliswil, Schulhaus Kopfholz",682.857,240.353,494
"Adliswil, Tiefacker",682.507,241.223,447
"Adliswil, Tobelhof",682.413,240.380,479
"Adliswil, Wanneten-/Haldenstr.",681.961,240.014,473
"Adliswil, Zopf",681.479,241.474,488
"Aedermannsdorf, Dorfplatz",612.990,239.312,530
"Aedermannsdorf, Staatsstrasse",613.310,238.675,509
Aefligen,609.177,216.062,497
"Aefligen, Gemeindehaus",608.980,215.881,496
"Aegerten, Bären",588.537,219.012,433
"Aegerten, Dorfplatz",588.641,218.926,433
"Aegerten, Jurastrasse",588.862,219.120,432
"Aegerten, Stockfeld",588.841,218.661,434
Aelpli,763.452,209.076,1801
Aempächli,730.740,198.173,1490
Aemsigen,663.358,202.497,1360
Aesch,612.397,257.453,299
Aesch (Neftenbach),693.525,266.475,440
"Aesch bei Maur, Im Brünneli",691.919,242.901,628
"Aesch bei Maur, Zollingerheim",692.048,242.471,646
Aesch BL Dorf,611.932,257.656,311
"Aesch BL, Alterszentrum",611.909,257.191,497
"Aesch BL, Arlesheimerstrasse",611.784,258.695,310
"Aesch BL, Bahnhof",612.378,257.445,299
"Aesch BL, Dorf (Bus)",611.939,257.638,311
"Aesch BL, Gewerbestrasse",612.495,259.007,318
"Aesch BL, Herrenweg",611.933,258.121,318
"Aesch BL, Höhenweg",611.783,256.896,345
"Aesch BL, Neumatt",611.699,257.828,316
"Aesch BL, Schwimmbad",612.400,258.700,299
"Aesch BL, Schürhof",609.324,258.382,344
"Aesch BL, Schützenmattschule",612.246,258.063,299
"Aesch BL, Sonnenweg",612.629,259.463,288
"Aesch BL, Sportanl Löhrenacker",611.058,258.008,312
Aesch LU SGH,659.892,234.469,485
"Aesch LU, Berg",660.980,234.760,485
"Aesch LU, Kreuz",660.730,234.355,485
"Aesch LU, Vorderdorf",660.780,234.030,485
"Aesch ZH, Gemeindehaus",675.581,243.520,537
"Aesch ZH, Heligenmattstrasse",675.407,243.108,555
"Aeschau, Dorf",624.635,195.350,740
"Aeschau, Gärtnerei",624.682,194.959,696
"Aeschau, Horben Schmiede",624.809,194.657,700
"Aeschau, Horben Schulhaus",625.493,194.307,705
"Aeschau, Säge",624.395,195.661,736
"Aeschi b. Spiez, Alleestrasse",620.096,167.613,859
"Aeschi b. Spiez, Friedegg",620.219,166.729,902
"Aeschi b. Spiez, Hasleren",618.860,168.207,804
"Aeschi b. Spiez, Längenboden",621.007,167.492,803
"Aeschi b. Spiez, Lengmattli",619.338,167.966,839
